sdg,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,9.039935666165968,9.108868949548613,9.871593537535366,12.194896770877314,12.710153112357146,13.780995519610407,14.158557628838414,16.52133198075375,19.573839088352532,19.224533350683192,18.3738349490463,19.67445650133908,18.534406918997146,19.48665315642207
2,32.49932021506566,32.747141099290886,35.48919939884941,43.841667660285715,45.69405704147015,49.54382451530834,50.90119168494449,59.39556189890956,70.36957870744858,69.11379554253472,66.0554640695888,70.73130667152027,66.63273365000491,70.05613803434046
3,50.367608314781506,50.75168235529306,55.00133796330285,67.9460348698753,70.81687715766897,76.78326596033014,78.88692035947307,92.05153761874134,109.05912351883322,107.11290451609368,102.37308716893881,109.61973131894409,103.26774243944993,108.57335160272673
5,1.9729444006545211,1.987988925360326,2.154451747738819,2.6615071377899087,2.7739606055318444,3.0076694071642542,3.0900714370911597,3.605741304639959,4.271943701238362,4.195708557018192,4.010045659610971,4.29390321166974,4.0450901091198626,4.252915579516008
6,26.14288772390828,26.34223815675015,28.547986516512406,35.26682366545108,36.75691045166071,39.85371488220539,40.94559918258737,47.778584159487174,56.60623001199715,55.5960612432763,53.13589851400616,56.8972088228998,53.60026188306673,56.3540941435868
7,35.51463108854078,35.78544497698682,38.78191346579382,47.9093298862193,49.933585318940594,54.14053705532325,55.623841751000484,64.90632589165682,76.89852006481489,75.52622441266026,72.18413869242426,77.29380941589676,72.81496776981558,76.55599813512795
8,20.874368998859037,21.03354477695863,22.794773515978058,28.159578176096943,29.34937104611787,31.822083283694166,32.69392253997459,38.149871067077214,45.19850084595279,44.3919091697732,42.42753763016473,45.43083933639722,42.79831886970083,44.99717736514114
9,59.1026706486002,59.5533531860589,64.54001036859717,79.729656720945,83.09837824449109,90.099495116298,92.56797827980242,108.01568493338736,127.97283163169327,125.68908728532523,120.12726148147415,128.6306635058199,121.17707340557013,127.40281414369683
11,62.00495655534908,62.477770234472445,67.7093013745467,83.64484797223248,87.17899337416267,94.52390592568356,97.11360601251589,113.31988517763507,134.25704419967826,131.86115468358534,126.02621078762157,134.94717945631427,127.12757460131246,133.6590355278003
13,0.5650125741923097,0.569321030947962,0.6169927178683778,0.7622034349548847,0.7944079021789202,0.8613375184306102,0.8849358433667955,1.0326135778232235,1.2234008756863943,1.2015686258442444,1.1483984140728152,1.2296896487064142,1.1584344569646485,1.2179515948892137
14,1.1536308888949338,1.1624278060323867,1.2597628620454973,1.5562510753725163,1.6220054848264318,1.7586609792642491,1.806843546902641,2.1083688648382606,2.497914390154019,2.453337757805651,2.344775928440543,2.5107546757344155,2.365267311484264,2.4867881622840002
15,5.101253161380926,5.140152346371391,5.57055930494,6.881603808087301,7.172363957048666,7.77664239630644,7.989701423985771,9.323019555601396,11.04555521379821,10.848441311180144,10.368390559605226,11.102333814337221,10.459001632470118,10.996356023968483
16,124.39954211647832,125.34814055855365,135.84407692474392,167.81530648859882,174.90580528413815,189.64178461635737,194.83745804180955,227.3518539797054,269.3577377067116,264.55090329666604,252.84434967162989,270.74234491706136,255.05399808908348,268.1579625742689
17,42.34496971357726,42.66786778552046,46.24063099654426,57.12347449061152,59.537044119912416,64.55309633285755,66.32167706956484,77.38941162727171,91.6880002229327,90.0517783040371,86.0669271521062,92.15931345600363,86.81908020446323,91.2796028865597
