sdg,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
2,151.4794668448515,159.19635087440554,164.19319295854842,160.47700144631514,173.68727728043112,189.91855093060363,209.13324960113093,212.83169341040343,219.22518560530204,224.3521672202411,228.6343780936302,235.2836689858405,226.17725403117225,220.30456011727367
3,234.76363207857324,246.72329737738744,254.4674281234901,248.7080560113278,269.1814072857502,294.3367160199601,324.1157517080675,329.84761834179824,339.7562843848186,347.70210602383946,354.3386977606776,364.6438018986601,350.5306346522887,341.4291043787194
5,9.195902066503521,9.664372884842397,9.967717433147579,9.742117660989216,10.544077196313244,11.529433205352293,12.695904746954168,12.920427104848196,13.30855844246018,13.619803403970593,13.87976465574959,14.283424829171556,13.73059940771795,13.374084302247747
6,121.85210853630895,128.05967323083235,132.0791998152466,129.08984567423846,139.71636818756343,152.77302173737473,168.22958226443035,171.2046599158753,176.34767052375366,180.471883086814,183.9165507700849,189.2653292703219,181.94000732045382,177.21593381331755
7,165.53384338143383,173.9667055966754,179.42715837081573,175.366175872168,189.8021108308631,207.53933400871307,228.536786578349,232.57837472907966,239.56505984023562,245.16772658671988,249.8472441398671,257.11346113993136,247.16214629660456,240.7445795146587
8,97.29552082151068,102.2520886416474,105.461568864716,103.07465269590257,111.5596354744105,121.98501032080787,134.32664416410708,136.70216095293247,140.8087119325979,144.10178099903925,146.8522523723024,151.1231032930674,145.27403738145634,141.5019960290577
9,275.47779398802805,289.5115784553335,298.5987442799669,291.8405462142477,315.8645127659844,345.38241081447165,380.32591115912885,387.05183357612935,398.6789218040954,408.00275700446065,415.7903075508393,427.8825866215525,411.3218265720008,400.6418525935825
11,289.0053606840799,303.72828583539905,313.2616845123841,306.1716194974068,331.37530295164805,362.34270198820957,399.002132044161,406.05833648778616,418.2563825748511,428.0380724745371,436.208037181745,448.8941176956462,431.52012771977473,420.3157047169409
13,2.6335259609403265,2.7676868135805806,2.8545587416735643,2.7899513923929113,3.0196168717146685,3.301803503521584,3.635858071011627,3.700156869982012,3.811310071317082,3.9004445227740234,3.974892325767954,4.090492681058452,3.932174324823563,3.830075392175823
14,5.377078376690091,5.651005207269971,5.828378498066531,5.6964645598920916,6.165390745184847,6.741553524130149,7.423619172286473,7.554903118873181,7.781853406914116,7.963846270723257,8.115852242036262,8.351882636264188,8.028631518724502,7.820168047634482
15,23.77696222607082,24.98824230181603,25.77257121423552,25.18925951495607,27.262809389708796,29.81054994161111,32.826583559833395,33.407109492357215,34.410663476122444,35.21541972943711,35.88757661182782,36.9312820173675,35.5018943326733,34.58008740884079
17,197.37008015326293,207.42478955494371,213.93542194098578,209.09341244681727,226.30573339389747,247.4542616271349,272.49004169498414,277.30892683026195,285.6393236374995,292.31952124686427,297.8990253269759,306.562714892916,294.6975170086865,287.0456940082206
