sdg,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
2,245.605606359484,255.39759133596922,256.38113452068615,252.13593779209845,225.67117663931148,204.74809700907463,182.8769419928637,174.4145491774511,160.73675554624953,191.88491304912156,176.82906984698633,187.37766916039703,213.29292279630238,223.84908216021427
3,380.6407918432182,395.81645892351617,397.3407590492009,390.76153201830516,349.7463133901353,317.3196203829928,283.4235954212856,270.3085368935403,249.11062420897238,297.3841938236534,274.0505730514141,290.39884479899195,330.56243394097055,346.9224222924639
4,497.4683386230047,517.3017722741231,519.29391569999,510.69537027180746,457.09162336278183,414.71242112545127,370.41291464856863,353.2725384289116,325.5684913812925,388.658346673283,358.16309285822103,379.52903092871225,432.01976337713216,453.40101415085724
5,14.910041275622524,15.504485768701306,15.564193972019035,15.306479747231611,13.699876840293088,12.429694186386735,11.101956481735387,10.588227874157694,9.757886618420363,11.648805644705368,10.734806787307262,11.375183257104746,12.948427073103066,13.589262492786464
6,197.56843370655815,205.4452373486165,206.23641263719222,202.8215196269094,181.53291189976588,164.70210688624724,147.10865735569553,140.30139542575574,129.29879534535377,154.3547897174056,142.24366813647705,150.72910246772048,171.57567900091246,180.06719473786322
7,268.39307546780384,279.0935680246665,280.1683650706883,275.5292958619674,246.6091146714737,223.74477629803417,199.844399405814,190.59685955030724,175.65003014886847,209.68813665330723,193.23540122646355,204.76270735586834,233.08239731721372,244.61796492417508
8,157.75290133483279,164.04231004485504,164.6740415157975,161.94734439109246,144.94898300647944,131.5100531487525,117.46217284792104,112.0267634586401,103.24149319887663,123.24800807508993,113.57761421729337,120.35299761091804,136.99840937691977,143.77864860392086
9,446.65387355964435,464.4613987396008,466.25005242621086,458.5298151280805,410.40148346279375,372.3511526818111,332.5766693057445,317.1871161655974,292.3129302800205,348.9584010781934,321.5781193915548,340.761609596853,387.8906169201454,407.0878556953184
11,468.5871843254863,487.26916287272195,489.14564988953066,481.0463039037347,430.5545903950456,390.63576640451964,348.9081238685749,332.76285389364426,306.6672003764813,366.0942942345689,337.36948099309734,357.4949924751686,406.93830898707114,427.0782441740009
13,4.269943339335007,4.44018058126512,4.457279839432637,4.383475540890411,3.923375984180634,3.55962058856991,3.1793825554513018,3.0322607597699793,2.794467312470307,3.3359894284894245,3.074238085138841,3.257629344179099,3.7081755116303716,3.8916982049149906
14,8.718281247332802,9.065868097079642,9.100781005747976,8.950088928402181,8.010667250316473,7.267959070806298,6.491596985829089,6.191206772088651,5.705685071312589,6.811353632675914,6.276915199459383,6.651359646973864,7.571275414137142,7.94598822135029
15,38.55146407995925,40.08846220751805,40.2428439837272,39.57649702357285,35.42245793591026,32.13826843892219,28.705264365877674,27.376965564032,25.23003179618236,30.11919981204315,27.755960605072165,29.411720640653826,33.4795063255023,35.13645302379765
16,940.1188938775499,977.6002454696832,981.3650110408056,965.1154241037267,863.8147154168262,783.7262240747367,700.008729321911,667.6167351361652,615.261447283209,734.4890651375969,676.8589366263279,717.2364250129981,816.4337517510679,856.8401781836573
17,320.0116769813524,332.7701379128785,334.0516449134319,328.5203683910113,294.0381237755586,266.7764097644935,238.27940149989976,227.25333187439037,209.43185889498633,250.01633196594673,230.39933012751317,244.14362125394635,277.90988538101493,291.6640268706984
