countryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AGO,6637.242825958409,3070.5964909996583,1300.998961929093,863.4170180863869,541.2560754665654,645.119979174015,720.4056538695806,840.002346213342,995.4857679002276,1082.9923679625986,805.7296163901239,841.6703471586321,848.4322191875443,1030.0926542450968,851.0942674216778,621.3157160814633,362.62260052957726,321.96972834206804,162.23837149302688,103.318821415737,52.35646632591083
ALB,158.5900256658462,188.70872236507256,215.56029754078295,259.60824376033173,326.71402991392745,350.967013269537,363.8867564835485,420.3868583024263,487.5600963352612,481.166650220964,461.8464228289132,483.04890223411655,453.753876194062,478.717747531968,508.2695032547291,422.95016408777286,450.341963735157,497.55058929367726,561.1920462652563,575.2544801487941,593.69902161295
ARE,7170.703868204714,6828.167316975945,6796.074635268469,6659.080054625937,5971.428243349807,4997.349970179274,4175.3773333072095,3602.756055913664,3505.8672059495884,4172.13117907213,3847.462122269857,3901.1691131618095,3899.926575910271,4596.680945405655,4762.252013372985,5660.7873060699285,5818.424472360257,6198.865112307135,5527.642816330593,6224.08165864774,5954.20206724634
ARG,5500.803856970778,5341.5700568818975,1272.2472929716955,1390.320951248945,1457.584094750522,1724.149862609525,1797.4801733268732,2000.5295643166016,2122.465170162877,1956.632374289435,1943.0924439523897,2012.9740141610264,1779.4431066576944,1450.227413960485,983.7794240103684,928.2233921375924,595.4902581088625,541.5390556863535,285.1701729104099,155.39477101693427,97.11641503185268
ARM,109.42309151524556,112.32654337382682,109.74418166226025,127.5272111811826,153.29894149507018,212.5844495721768,254.58005321902905,360.20519610108227,434.0989267218246,413.36288921807886,404.2078807920501,419.9339769277656,381.304152081764,420.67919179181246,432.44095933442657,419.45305047128784,427.4191731454575,417.5224862552068,408.378246026526,478.6650008634903,557.4678138984128
ATG,2293.29190038918,2426.2789935777096,2731.0180224251526,2407.667382594532,2486.500081646021,2346.171647451811,2375.646372769244,2606.825479021546,2974.9889311177617,2834.754005913921,2354.523079984862,2236.331569664903,2287.3266913712578,2193.6527372105206,2191.286521936916,2189.1723194235024,2213.305499423731,2302.2985676582416,2321.725015909901,2390.749998080901,2434.31556068645
AZE,278.3556238887256,262.34577222400105,247.57960707636903,267.0574886195652,300.4691659192813,319.4927797833158,368.56216608083656,538.7216401851528,541.1407212949505,783.0118713574668,794.2440953019326,730.2831428989991,769.8048984848314,786.8580764899351,845.665440010507,736.5278021414647,468.5780275854096,380.2697995635626,356.86308314116974,384.8727217612219,522.6952259423709
BDI,63.01839107365484,57.04825328188199,49.07648420915854,47.92760052432338,52.7088720776839,38.44136229146685,44.463006850767584,52.9018458120295,52.06575923853024,49.16373346759477,55.588239068055486,57.1533570035367,51.44663440918,51.4430618357499,54.789520506732416,43.45560721884799,41.61731382925368,41.43618967738686,41.33182037728013,41.55744667017094,43.91286855612306
BEN,55.46296423989676,54.982537281160376,56.757712782091566,77.25488635013292,85.90277984450428,86.59441816527396,94.87935168963013,105.58713865893084,123.58423801666986,128.61699518203588,120.55330488816335,124.59613938287538,118.32489983754868,126.51714305589894,120.68689790218764,111.8482689710254,101.05800022681754,108.0746645516633,116.52784966909122,114.13580009416437,129.45693044693863
BFA,51.353848948987896,53.483454453880725,57.11343788991947,66.6309833468604,77.8970400849431,79.62988475509766,90.74455018300242,110.58105194091306,107.070903041922,105.23048612836092,99.97197341501538,107.31723966918857,102.10329526302662,111.42931668250029,119.20066418312835,103.50540949760584,110.02327926217464,124.50352903690596,129.31281845249282,140.9516755997249,141.89713084558554
