sdg,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,2.4267180444018566,1.635722983044,1.9457347509174292,2.9613772370931217,4.044357680734125,1.7142103827070243,2.412153240393357,1.068927065070865,1.412674313254301,1.211644127024939,4.0906851190534255,1.5634788691492982,1.290478551158047,1.0520742216654302
2,6.837090963464742,11.59524069360754,7.915562303843507,6.707445153133296,6.432417809906219,9.733376338241131,6.383204710780186,9.347955718080451,6.224392291047895,7.479312382074324,13.020681113322018,8.860782212667232,6.6503461342396655,5.89686856755247
3,15.70628545826839,9.539732223958694,14.102254946728934,12.773481437334015,9.285121634194354,17.414476931003477,7.3755624236469615,11.281730332957753,12.594282926545194,16.269110085369228,17.154524736677,7.077210794882392,13.627608777414007,20.62976174553454
4,12.36118858013189,11.973239497386368,19.559679187124217,14.998136736614459,10.157313114626106,8.70394262695216,8.27421102550615,8.275577458617029,9.1640318616952,9.975554348818758,8.155706048556867,7.387829500407974,9.30875564019297,8.898137888043408
5,0.3911693522946725,0.45152053266772496,0.42962117389316157,0.9634886790476103,0.4226938874459941,0.437980933404107,0.32165871708521776,0.4020041314636766,0.3177749577660137,1.0965100547229019,1.5158630569190636,0.8818925064785978,0.6637956570436059,0.5586605426550967
6,5.326866164018787,4.57280019893641,6.79935448021306,4.04493925340431,5.169854840550014,3.7532345882126785,4.490319546737605,4.113939047368725,3.57072057083683,5.401970331938958,6.42813068353094,4.761920750421515,4.0808394744049705,5.6952929854610765
7,6.371007654549499,5.496191749966748,7.2310845210965295,5.335325101911455,11.698634061483112,4.197351026478999,5.428521346244033,8.020615777067235,12.163945493706068,4.403782562445642,3.634574989013047,3.0383869921629145,6.414221617077638,11.251585238260908
8,6.197335400327645,7.126678416196675,4.057981705314747,6.452765258705394,4.306876465111933,3.2098446629010002,6.000515797821465,3.807590726417617,4.96664536769929,4.853213558807193,4.257517307358498,3.861814171741454,5.800252108142022,4.031318425112033
9,12.063211005958044,10.112265363167195,12.664976959945472,22.906779485497818,10.184522392853822,9.567262471319399,7.277760808895931,8.431691086583278,9.150177154453385,8.178484763147278,8.872042051069416,5.9640214739350235,9.357019732708807,12.425042709069809
11,11.114032264374812,9.854111609398018,13.03289773146825,21.99781957872642,9.23453808597141,11.826990396230661,7.067108202127139,10.71377982904039,9.930049713599146,9.028898699266268,13.264797267228706,5.282424259249849,14.395850706718118,22.397326157339226
13,0.10111781120556115,0.08738860900968042,0.10702176362516926,0.08481315249053117,0.06590775383795075,0.05912108703506128,0.059473348036508306,0.0531316910475462,0.06113083762734487,0.05915389782935694,0.05129531185033231,0.04722923565178775,0.05392714019741213,0.05447619624480461
14,0.20646023779371206,0.17842823911528732,0.21851480469881543,0.17316972571362785,0.1345690770755567,0.5246657742239118,0.12143144151967565,0.2055574940268822,0.1248156691941558,0.12117147451297318,0.1047336978130692,0.10368113870107094,0.11010731003718792,0.12087644414819576
15,0.9129488044078815,0.8030387311091186,0.9679058084062933,0.7719925227332389,0.620600204396884,1.0140744382460434,0.5466610682450966,0.4823754120011958,0.5684788291090945,1.0297475075818043,0.7786795411910044,0.45292347112027814,0.5608854202607227,0.5301397704202936
16,50.12360315937758,44.82429195827969,43.1173417847274,40.58188920953384,45.65908490712979,31.51863539975306,27.57199103869576,23.179651314598303,26.595284504364784,31.473419340311082,22.67076072719471,20.697945812869076,29.074410480950654,21.950039348224585
17,7.997108426494217,7.991220512925065,30.466454942138178,17.226609510418886,6.498794423867243,5.4261639978829885,12.698795961399458,59.83855761730112,5.391734903357804,6.531873179133042,3.9409451037605305,3.8258169003433924,4.169696347115364,8.181982759287246
