sdg,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,47.537693027443524,49.50269172359359,52.06361750659974,53.59771495767947,54.325094237029454,55.52027807726506,61.48891653276371,62.66648953910427,72.16157105294229,66.35729103811906,76.58433045109632,82.02214774427458,81.06886862543313,91.93261972767226
2,170.91706608869876,177.68285131790063,187.16705319128934,192.68867403825124,194.92142630965304,199.6000151213244,221.05776654528722,225.29123939542208,259.42684676941235,238.55997760289193,275.3270344723809,294.87643969032473,291.4493220114327,330.5054103340373
3,264.8688046924832,275.37448340021723,290.07274200655706,298.63100115841996,302.09425266239015,309.3410974360906,342.59642745179633,349.15748475748137,402.0610190598168,369.7214413092682,426.7032091442535,457.00097470637394,451.6896106607015,512.2189308410217
5,10.374974911029105,10.78663751365095,11.362397340532041,11.697772135570295,11.833144018407769,12.117168285311445,13.419809394183591,13.67681189453511,15.749090791009843,14.482320519852227,16.714347482237045,17.90113813833787,17.69308724403579,20.06407501416862
6,137.47564510556833,142.93046136744803,150.5596801660598,155.00052760337766,156.80301407381592,160.56092098160943,177.8218231350073,181.22728530070466,208.68642429377053,191.900835728846,221.47674788075676,237.20255082985884,234.44573154554774,265.8629712045969
7,186.75812982658186,194.1777431605067,204.5495312977468,210.5660905561015,213.00637985130635,218.11905157988167,241.5676689899893,246.19392657017693,283.49666074578425,260.69374808429797,300.87207957832055,322.2352930154379,318.4902048333644,361.16994580517
8,109.7723377809548,114.14074621542586,120.21771861347709,123.78163432518633,125.24540804200032,128.20343134097,141.98578180693312,144.70494866444173,166.63030770609103,153.22748192541707,176.84302548192392,189.39964191350103,187.19839836261158,212.28419073928242
9,310.79900157358526,323.2717576573122,340.66470663740233,350.45911880668234,354.6622987773893,362.98894491037964,402.01162005796954,409.7105365246999,471.7889291391898,433.84082168171216,500.70472032622627,536.2569118898068,530.0244182219653,601.0511076935647
11,326.2288175650789,339.1048600731311,357.40866869491845,367.9562502572057,371.97039938884745,380.8138196166801,421.7527357544252,429.8297139316234,494.956517760386,455.14493685487327,525.292242976184,562.5902545407337,556.0517090762885,630.5662233381089
13,2.971189294394954,3.089081388429085,3.2539677084869045,3.3499454240573097,3.38878032265424,3.4701193011490683,3.843170161542502,3.9167706361677865,4.51023066137334,4.147452505243036,4.786661242836104,5.126534806129856,5.066953111220646,5.745957498235714
14,6.066512327920889,6.307221946514242,6.643883395592319,6.839848693330817,6.919140979263682,7.085217208977567,7.846904674595308,7.997180588518876,9.208894889532765,8.46818201721035,9.773305084945672,10.46725183736079,10.345599175456345,11.73197617011972
15,26.825577824989445,27.889974344399885,29.378661322146915,30.245202435281513,30.59582586967621,31.330200182997267,34.69831439471773,35.36282111724171,40.72091395979608,37.44554753368576,43.2166856328515,46.28525643713936,45.747319188662146,51.8777549241918
16,654.2668399538079,680.2621248173776,716.4587667088381,737.6482878763795,746.5733411616601,764.0206109918702,846.1556967206102,862.3604074848429,993.023261325821,913.1499300517638,1053.8853364931167,1128.7157342266157,1115.597556147438,1265.094821691487
17,222.68406991297198,231.54787407582504,243.8699813899447,251.06618678655127,253.97884898198302,260.06871956736927,288.0270838702621,293.543084772309,338.02005385476093,310.8315792335634,358.73719385236245,384.20907961471545,379.7437186977116,430.63182547062894
